Type,ID,Label,LDX,Cleaning,Sr/Ca [mmol/mol],Ba/Ca [umol/mol],U/Ca [nmol/mol],Na_Ca [mmol/mol],Mg_Ca [mmol/mol],Mn_Ca [umol/mol],Fe_Ca [umol/mol],Al_Ca [umol/mol],Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Sediment,250409_MC47_006,A1,,no clean,2.4240384752474555,11.994102980491613,468.3895595438076,17.210719873136657,9.04612260932498,175.65853023117276,556.8064995329007,513.9031739346847,,,Sediment,250409_MC47_006,A1,,no clean,2.4240384752474555,11.994102980491613,468.3895595438076,17.210719873136657,9.04612260932498,175.65853023117276,556.8064995329007,513.9031739346847
Sediment,250409_MC48_007,A2,,no clean,2.3029585788126603,12.848314913862716,447.94133990479213,17.48493818558244,8.172336479277574,174.43419391518393,588.7472175190226,627.1171874876821,,,Sediment,250409_MC48_007,A2,,no clean,2.3029585788126603,12.848314913862716,447.94133990479213,17.48493818558244,8.172336479277574,174.43419391518393,588.7472175190226,627.1171874876821
Sediment,250409_MK49_008,A3,,no clean,2.345928293878571,12.4210935332361,449.2971593032706,17.329182493403763,9.02414281473312,165.6397343820345,521.8168243699243,548.6695761659207,,,Sediment,250409_MK49_008,A3,,no clean,2.345928293878571,12.4210935332361,449.2971593032706,17.329182493403763,9.02414281473312,165.6397343820345,521.8168243699243,548.6695761659207
Sediment,250409_MK50_009,B1,,sonic only,1.5770705354627657,6.71894073046416,302.79267025152586,18.657383483251486,3.1512495171605153,48.95216995136264,174.51428541350577,219.93697957266215,,,Sediment,250409_MK50_009,B1,,sonic only,1.5770705354627657,6.71894073046416,302.79267025152586,18.657383483251486,3.1512495171605153,48.95216995136264,174.51428541350577,219.93697957266215
Sediment,250409_MK51_010,B2,,sonic only,1.5979015509006576,7.006678669499552,308.31198972930645,18.82129046929329,3.4112927201749854,47.29571595199434,167.46871571763438,156.3431622820941,,,Sediment,250409_MK51_010,B2,,sonic only,1.5979015509006576,7.006678669499552,308.31198972930645,18.82129046929329,3.4112927201749854,47.29571595199434,167.46871571763438,156.3431622820941
Sediment,250409_MK52_014,B3,,sonic only,1.6682384240136723,7.296222430339202,320.7144097559301,18.326195021745924,3.569038446941203,44.414757823823244,157.62759062691416,141.92032139848197,,,Sediment,250409_MK52_014,B3,,sonic only,1.6682384240136723,7.296222430339202,320.7144097559301,18.326195021745924,3.569038446941203,44.414757823823244,157.62759062691416,141.92032139848197
Sediment,250409_MK53_015,C1,,sonic+red,1.3415621166647502,5.7020981777185344,223.36742932630972,18.67329926158967,1.1983217414583234,15.484944635332528,25.883426323940235,72.38008408945117,,,Sediment,250409_MK53_015,C1,,sonic+red,1.3415621166647502,5.7020981777185344,223.36742932630972,18.67329926158967,1.1983217414583234,15.484944635332528,25.883426323940235,72.38008408945117
Sediment,250409_MK54_016,C2,,sonic+red,1.5575845128239232,5.942119785146838,236.96242951649464,29.761961607080888,1.409895514986543,15.630759401881026,25.78692042263827,53.63773308714414,,,Sediment,250409_MK54_016,C2,,sonic+red,1.5575845128239232,5.942119785146838,236.96242951649464,29.761961607080888,1.409895514986543,15.630759401881026,25.78692042263827,53.63773308714414
Sediment,250409_MK55_017,C3,,sonic+red,1.4277933288311244,6.387162272412955,247.06680639675164,18.79052898864428,0.9257149203402124,15.710662717164421,30.05358954150387,59.87691798887488,,,Sediment,250409_MK55_017,C3,,sonic+red,1.4277933288311244,6.387162272412955,247.06680639675164,18.79052898864428,0.9257149203402124,15.710662717164421,30.05358954150387,59.87691798887488
Sediment,250409_MK56_018,D1,,sonic++red+ox,1.3244922852859213,6.485687884822839,218.43171399770733,19.685248179403228,0.9664150942769436,15.895692464599502,17.47462352076996,45.282253824305165,,,Sediment,250409_MK56_018,D1,,sonic++red+ox,1.3244922852859213,6.485687884822839,218.43171399770733,19.685248179403228,0.9664150942769436,15.895692464599502,17.47462352076996,45.282253824305165
Sediment,250409_MK57_021,D2,,sonic++red+ox,1.3081440292087358,6.009465918527243,221.35630060801955,19.410276393833488,0.7935097935798665,15.74809501785283,23.308749817709145,62.512748584023385,,,Sediment,250409_MK57_021,D2,,sonic++red+ox,1.3081440292087358,6.009465918527243,221.35630060801955,19.410276393833488,0.7935097935798665,15.74809501785283,23.308749817709145,62.512748584023385
Sediment,250409_MK58_022,D3,,sonic++red+ox,1.4717601344048605,6.720492569879498,230.31890204975423,18.90239105252989,3.0758591947397695,14.818881820090528,19.593911628595208,46.06978616682399,,,Sediment,250409_MK58_022,D3,,sonic++red+ox,1.4717601344048605,6.720492569879498,230.31890204975423,18.90239105252989,3.0758591947397695,14.818881820090528,19.593911628595208,46.06978616682399
Sed Trap,250515_MC_36,13-5,,na,0.9592611434792775,12.066556365700901,161.9227431529131,52.3487620801763,0.6400304101139624,16.514215278927544,25.154315378283385,42.29223875611653,,,,,,,,,,,,,,,
Sed Trap,250515_MC015,12-3,,na,0.721996359226769,27.097383191755213,277.3452332787361,,,,,,,,,,,,,,,,,,,,
Sed Trap,250515_MC_16,4-4,,na,0.8133673320213148,21.18610577281188,15.801180336692479,,,,,,,,,,,,,1.4423133194399327,6.010460078426109,235.79888841318532,22.408596619104944,1.177977392261693,15.60878891812599,27.241312096027457,61.9649117218234
Sed Trap,250515_MC_18,6-8,,na,0.770737145922904,18.418874611647716,43.48415532114973,,,,,,,,,,,,,,,,,,,,
Sed Trap,250515_MC_19,12-6,,na,0.7192533301616225,31.62758286432116,262.7077980145585,,,,,,,,,,,,,,,,,,,,
Sed Trap,250515_MC_20,12-7,,na,0.8593848840194248,27.6549242183985,280.8719586143595,,,,,,,,,,,,,,,,,,,,
Sed Trap,250515_MC_21,4-5,,na,0.8705780601854742,16.3548278818378,19.58650665373935,,,,,,,,,,,,,,,,,,,,
